isoo,isod,Nijl,Nijh,dums
ARM,KGZ,0,0,0
ARM,KHM,0,0,0
ARM,KWT,0,0,0
ARM,LAO,0,0,0
ARM,LBN,0,0,0
ARM,LBR,0,0,0
ARM,LBY,0,0,0
ARM,LCA,0,0,0
ARM,LKA,0,0,0
ARM,LSO,0,0,0
ARM,LTU,0,0,0
ARM,LUX,2,13,0
ARM,LVA,807,543,0
ARM,MAR,0,0,0
ARM,MDA,0,0,0
ARM,MDG,0,0,0
ARM,MDV,0,0,0
ARM,MEX,3,42,0
ARM,MKD,0,0,0
ARM,MLI,0,0,0
ARM,MLT,0,0,0
ARM,MMR,0,0,0
ARM,MNG,0,0,0
ARM,MOZ,0,0,0
ARM,MRT,0,0,0
ARM,MUS,0,0,0
ARM,MWI,0,0,0
ARM,MYS,0,0,0
