o_iso,d_iso,dumsa,cijha,cijla,migH,migL
"ALB","TTO",0,1,1,0,0
"ALB","TUN",0,1,1,0,0
"ALB","TUR",0,0.999885607898195,0.999938624241653,443,3151
"ALB","TZA",0,1,1,0,0
"ALB","UGA",0,1,1,0,0
"ALB","UKR",0,1,1,0,0
"ALB","URY",0,1,1,0,0
"ALB","USA",0,0.986922162314031,0.999481103644451,20084,38793
"ALB","UZB",0,1,1,0,0
"ALB","VCT",0,1,1,0,0
"ALB","VEN",0,1,1,0,0
"ALB","VNM",0,1,1,0,0
"ALB","VUT",0,1,1,0,0
"ALB","WSM",0,1,1,0,0
"ALB","YEM",0,1,1,0,0
"ALB","ZAF",0,1,1,0,0
"ALB","ZAR",0,1,1,0,0
"ALB","ZMB",0,1,1,0,0
"ALB","ZWE",0,1,1,0,0
"ARE","AFG",0,1,1,0,0
"ARE","AGO",0,1,1,0,0
"ARE","ALB",0,1,1,0,0
"ARE","ARE",1,0,0,4549306,24484394
"ARE","ARG",0,1,1,0,0
"ARE","ARM",0,1,1,0,0
"ARE","AUS",0,0.999998236796424,0.999999987067399,1030,313
"ARE","AUT",0,1,1,0,0
"ARE","AZE",0,1,1,0,0
"ARE","BDI",0,1,1,0,0
"ARE","BEL",0,0.999999991534722,0.999999999706561,25,22
"ARE","BEN",0,1,1,0,0
"ARE","BFA",0,1,1,0,0
"ARE","BGD",0,1,1,0,0
"ARE","BGR",0,1,1,0,0
"ARE","BHR",0,1,1,0,0
"ARE","BHS",0,1,1,0,0
"ARE","BIH",0,1,1,0,0
"ARE","BLR",0,1,1,0,0
"ARE","BLZ",0,1,1,0,0
"ARE","BOL",0,1,1,0,0
"ARE","BRA",0,1,1,0,0
"ARE","BRB",0,1,1,0,0
"ARE","BRN",0,1,1,0,0
"ARE","BTN",0,1,1,0,0
"ARE","BWA",0,1,1,0,0
"ARE","CAF",0,1,1,0,0
"ARE","CAN",0,0.999990304709855,0.999999957951674,3175,675
"ARE","CHE",0,1,1,0,0
"ARE","CHL",0,1,1,0,0
"ARE","CHN",0,1,1,0,0
"ARE","CIV",0,1,1,0,0
"ARE","CMR",0,1,1,0,0
"ARE","COG",0,1,1,0,0
"ARE","COL",0,1,1,0,0
"ARE","COM",0,1,1,0,0
"ARE","CPV",0,1,1,0,0
"ARE","CRI",0,1,1,0,0
"ARE","CUB",0,1,1,0,0
"ARE","CYP",0,1,1,0,0
"ARE","CZE",0,0.99999999950912,0.999999999952772,2,4
"ARE","DEU",0,1,1,0,0
"ARE","DJI",0,1,1,0,0
"ARE","DNK",0,0.999999985386337,0.999999997539505,44,108
"ARE","DOM",0,1,1,0,0
"ARE","DZA",0,1,1,0,0
"ARE","ECU",0,1,1,0,0
"ARE","EGY",0,1,1,0,0
"ARE","ERI",0,1,1,0,0
"ARE","ESP",0,0.999999990148599,0.999999998878605,25,45
"ARE","EST",0,0.999999999773681,1,2,0
"ARE","ETH",0,1,1,0,0
"ARE","FIN",0,0.999999997973288,0.999999999631872,11,24
"ARE","FJI",0,1,1,0,0
"ARE","FRA",0,0.999999871122495,0.999999998974842,182,51
"ARE","FSM",0,1,1,0,0
"ARE","GAB",0,1,1,0,0
"ARE","GBR",0,0.99999130261832,0.999999873792082,3383,1372
"ARE","GEO",0,1,1,0,0
"ARE","GHA",0,1,1,0,0
"ARE","GIN",0,1,1,0,0
"ARE","GMB",0,1,1,0,0
"ARE","GNB",0,1,1,0,0
"ARE","GNQ",0,1,1,0,0
"ARE","GRC",0,0.999999987939305,0.999999999694591,24,16
"ARE","GRD",0,1,1,0,0
